"","drug","SYMBOL","logFC"
"Dapl1","Bevacizumab","Dapl1",0.546462440045182
"Gm13092","Bevacizumab","Gm13092",0.750141968601769
"Vcl","Bevacizumab","Vcl",-0.67359412794172
"Hspg2","Bevacizumab","Hspg2",-0.56685046449433
"Tsku","Bevacizumab","Tsku",0.576458519058439
"Cyp2j8","Bevacizumab","Cyp2j8",0.68962652790599
"Tmppe","Bevacizumab","Tmppe",-0.641907490084963
"Rpl35","Bevacizumab","Rpl35",0.613546052359508
"Rnf180","Bevacizumab","Rnf180",-0.577084463218839
"Palld","Bevacizumab","Palld",-0.579634561512694
"Fbn1","Bevacizumab","Fbn1",-0.539098696699119
"Gm26287","Bevacizumab","Gm26287",-0.757611885994503
"Gm14396","Bevacizumab","Gm14396",0.547115013765047
"Gm29216","Bevacizumab","Gm29216",0.656891264307144
"Isg20","Bevacizumab","Isg20",0.587480776488618
"Gm47790","Bevacizumab","Gm47790",0.661203495826394
"Gm14794","Bevacizumab","Gm14794",0.685123207774894
"Tgtp2","Bevacizumab","Tgtp2",0.579107457055021
"Dhcr24","Bevacizumab","Dhcr24",-0.905718059708415
"Acsm3","Bevacizumab","Acsm3",-0.687329925951781
"Gm7039","Bevacizumab","Gm7039",0.55818157432893
"Gm12854","Bevacizumab","Gm12854",0.672251308129765
"Fabp6","Bevacizumab","Fabp6",0.759058625694949
"Atoh7","Bevacizumab","Atoh7",0.506696110279004
"Itpa-ps1","Bevacizumab","Itpa-ps1",-0.638085377708361
"Gm16146","Bevacizumab","Gm16146",-0.62648886433118
"Ighj2","Bevacizumab","Ighj2",-0.721511396632178
"Gm24867","Bevacizumab","Gm24867",0.662123165515055
"Ntn1","Bevacizumab","Ntn1",-0.569825479569865
"Gm48653","Bevacizumab","Gm48653",0.498109158739368
"Gm31274","Bevacizumab","Gm31274",0.641293618818168
"A830052D11Rik","Bevacizumab","A830052D11Rik",0.501914449729887
"Bnc2","Bevacizumab","Bnc2",-0.54361538819778
"Znhit2","Bevacizumab","Znhit2",0.585069435159969
"Gm56329","Bevacizumab","Gm56329",0.513624197514472
"Stat1","Bevacizumab","Stat1",0.69545241268083
"Ddx60","Bevacizumab","Ddx60",0.601169106360789
"2310040G24Rik","Bevacizumab","2310040G24Rik",0.515939004885214
"Fscn1","Bevacizumab","Fscn1",-0.538950840942425
"Ctxn3","Bevacizumab","Ctxn3",-0.720784718104875
"Gm10029","Bevacizumab","Gm10029",0.513138396595979
"Gm13832","Bevacizumab","Gm13832",-0.555370672653671
".458","Bevacizumab",".458",0.700252589674433
"Fbxw17","Bevacizumab","Fbxw17",0.528558566241879
"Gzmb","Bevacizumab","Gzmb",0.533504362155242
"Gm49376","Bevacizumab","Gm49376",0.837447585560074
"Gm39078","Bevacizumab","Gm39078",0.61156541944369
"Adgrf1","Bevacizumab","Adgrf1",-0.674380699183373
"Ace","Bevacizumab","Ace",-0.551935990293191
"Muc20","Bevacizumab","Muc20",-0.679550881457798
"Psmb10","Bevacizumab","Psmb10",0.618373317978945
"Adamtsl5","Bevacizumab","Adamtsl5",0.494333364812115
"Gm23303","Bevacizumab","Gm23303",0.601313669244832
"Gm9349","Bevacizumab","Gm9349",0.699400712036012
"Gsta4","Bevacizumab","Gsta4",0.514335845911773
"Mir1258","Bevacizumab","Mir1258",1.0568770710899
"Snora31","Bevacizumab","Snora31",0.770074205452825
"Gsta1","Bevacizumab","Gsta1",0.652730278402642
"Gm20461","Bevacizumab","Gm20461",0.581649040125649
"Kdelr3","Bevacizumab","Kdelr3",-0.484122792128257
"Gm27201","Bevacizumab","Gm27201",0.650897367695271
"Stat2","Bevacizumab","Stat2",0.756083124383492
"Tpt1-ps6","Bevacizumab","Tpt1-ps6",0.50995859790587
"Lgals3bp","Bevacizumab","Lgals3bp",0.696745966409851
"Gm6204","Bevacizumab","Gm6204",0.621750666389321
"Gm9001","Bevacizumab","Gm9001",0.558824145248959
"Tap1","Bevacizumab","Tap1",0.654929654606178
"Gm48249","Bevacizumab","Gm48249",0.653586569773608
"Lncbate1","Bevacizumab","Lncbate1",0.501164754010837
"Trim34a","Bevacizumab","Trim34a",0.547268061579932
"Fam25a","Bevacizumab","Fam25a",0.671918029641476
"Gm55561","Bevacizumab","Gm55561",0.585763520960573
"Hmgb1-ps2","Bevacizumab","Hmgb1-ps2",-0.512793184591132
"Gm17066","Bevacizumab","Gm17066",0.571985822846199
"Itgb6","Bevacizumab","Itgb6",-0.533589242561228
"Gm12254","Bevacizumab","Gm12254",0.584704625037266
"Krt5","Bevacizumab","Krt5",0.894810055129111
"Mef2b","Bevacizumab","Mef2b",0.477052561926175
"Ms4a4d","Bevacizumab","Ms4a4d",0.564608113446932
"Plin5","Bevacizumab","Plin5",0.561367819980154
"Phf11b","Bevacizumab","Phf11b",0.531505340967078
"F2r","Bevacizumab","F2r",-0.525072421327179
"Gm44691","Bevacizumab","Gm44691",0.517431897457693
"Sp140","Bevacizumab","Sp140",0.511920748107359
"Gm6548","Bevacizumab","Gm6548",0.557106915309508
"Gm11966","Bevacizumab","Gm11966",0.693821763368242
"Mcoln2","Bevacizumab","Mcoln2",0.793774980216585
"H2-DMb1","Bevacizumab","H2-DMb1",0.498433107659818
"Igfbp5","Bevacizumab","Igfbp5",-0.541639454468013
"Gm19774","Bevacizumab","Gm19774",0.627141420876419
"Gm27252","Bevacizumab","Gm27252",0.558336592559707
"Rpl35a-ps2","Bevacizumab","Rpl35a-ps2",0.509233986298723
"Snx29","Bevacizumab","Snx29",-0.676754998216833
"Snord53","Bevacizumab","Snord53",1.10022875216343
"Tnfrsf14","Bevacizumab","Tnfrsf14",-0.525318778840416
"Gm44200","Bevacizumab","Gm44200",-0.530136517213871
"Gm55027","Bevacizumab","Gm55027",0.748872307327823
"Gm13493","Bevacizumab","Gm13493",0.520466524839441
"Gm56358","Bevacizumab","Gm56358",0.827057872459351
"Hspe1-rs1","Bevacizumab","Hspe1-rs1",0.535260119150432
"Apod","Bevacizumab","Apod",0.869882243631928
"Dusp4","Bevacizumab","Dusp4",-0.605335077333432
"Prss22","Bevacizumab","Prss22",0.531054198462987
"Gm15972","Bevacizumab","Gm15972",0.545638335980729
"Oasl2","Bevacizumab","Oasl2",0.686792936460523
"Mir6375","Bevacizumab","Mir6375",1.0069043459609
"Itgb7","Bevacizumab","Itgb7",-0.539587173273024
"Gm15726","Bevacizumab","Gm15726",0.592581873337835
"Coro1c","Bevacizumab","Coro1c",-0.576636823547939
"Gm13114","Bevacizumab","Gm13114",0.777022211988779
"Glg1","Bevacizumab","Glg1",-0.514049683543308
"Gm12337","Bevacizumab","Gm12337",0.533821308793185
"C1qtnf2","Bevacizumab","C1qtnf2",-0.556407037031299
"Pttg1","Bevacizumab","Pttg1",0.999157434471828
"Cntfr","Bevacizumab","Cntfr",0.498898564502116
"Slit3","Bevacizumab","Slit3",-0.631817228849489
"Gm20485","Bevacizumab","Gm20485",0.473483232351163
"Gm9493","Bevacizumab","Gm9493",0.641993083145762
"Snord37","Bevacizumab","Snord37",0.623746816081704
"Apom","Bevacizumab","Apom",-0.656830813212978
"Gm25135","Bevacizumab","Gm25135",-0.671292078888908
"Gm22716","Bevacizumab","Gm22716",0.620355153200356
"Aplnr","Bevacizumab","Aplnr",-0.521035743338901
"Trav12-4","Bevacizumab","Trav12-4",-0.467845940417979
"Mir7030","Bevacizumab","Mir7030",0.703952128958003
"Gm26180","Bevacizumab","Gm26180",0.813968484092231
"Henmt1","Bevacizumab","Henmt1",-0.634384827223422
"Snord43","Bevacizumab","Snord43",0.650104216170862
"Gm46495","Bevacizumab","Gm46495",-0.480209076256141
"Gm57397","Bevacizumab","Gm57397",0.551114304696798
"Col15a1","Bevacizumab","Col15a1",-0.483384171850042
"Cckar","Bevacizumab","Cckar",-0.519004119235832
"Fcgr4","Bevacizumab","Fcgr4",0.576718531370771
"Mir146","Bevacizumab","Mir146",0.622282705117834
"Prex1","Bevacizumab","Prex1",-0.471404372311192
"Tm6sf2","Bevacizumab","Tm6sf2",0.54369415262341
"Gm26397","Bevacizumab","Gm26397",-0.631595836321768
"Plxnd1","Bevacizumab","Plxnd1",-0.459762304300678
"Cyp4b1","Bevacizumab","Cyp4b1",-0.53192764197862
"Mir6364","Bevacizumab","Mir6364",0.590047829918932
"Gm15715","Bevacizumab","Gm15715",0.464890873667547
"Gm12927","Bevacizumab","Gm12927",0.50662203456266
"Adamts5","Bevacizumab","Adamts5",-0.453785033710511
"Sucnr1","Bevacizumab","Sucnr1",-0.492036113669067
"Fam209","Bevacizumab","Fam209",0.470893453044926
"Ndufa11","Bevacizumab","Ndufa11",0.509827157850701
"Oas1a","Bevacizumab","Oas1a",0.609406074473506
"Cdc42bpb","Bevacizumab","Cdc42bpb",-0.564025788475228
"H2-T10","Bevacizumab","H2-T10",0.451870029635849
"Arhgap23","Bevacizumab","Arhgap23",-0.485172879391467
"Gm25970","Bevacizumab","Gm25970",-0.584188688245761
"Gm35876","Bevacizumab","Gm35876",-0.538251557429083
"Irf9","Bevacizumab","Irf9",0.558166089268202
"Gm22200","Bevacizumab","Gm22200",1.0618991792714
"Gm23706","Bevacizumab","Gm23706",0.616756143799227
"Gm4459","Bevacizumab","Gm4459",0.522660661418565
"Mst1","Bevacizumab","Mst1",0.51992998125096
"Gm22935","Bevacizumab","Gm22935",0.5630453734036
"Gm56398","Bevacizumab","Gm56398",-0.552247534385246
"Kif16b","Bevacizumab","Kif16b",-0.504910051958217
"Gm5561","Bevacizumab","Gm5561",0.566239987993682
"Gm11775","Bevacizumab","Gm11775",0.602264783987494
"Klk1b24","Bevacizumab","Klk1b24",0.517180774933621
"Gm16272","Bevacizumab","Gm16272",0.462513622000851
"Tbx3os1","Bevacizumab","Tbx3os1",0.521924300031075
"B2m","Bevacizumab","B2m",0.463471116269731
"Gm22572","Bevacizumab","Gm22572",-0.754786595145592
"Gm27184","Bevacizumab","Gm27184",0.707581224247376
"Tgtp1","Bevacizumab","Tgtp1",0.587906941582409
"Xcl1","Bevacizumab","Xcl1",0.481138522110101
"Mfsd2a","Bevacizumab","Mfsd2a",0.668060980393155
"Gm6091","Bevacizumab","Gm6091",0.511159579780428
"Gm16685","Bevacizumab","Gm16685",0.494234136268644
"Cfb","Bevacizumab","Cfb",-0.760075601004571
"Pdk4","Bevacizumab","Pdk4",0.571155970143772
"Mmp14","Bevacizumab","Mmp14",-0.469928034208189
"Gm55658","Bevacizumab","Gm55658",-0.797592615903532
"1700021N21Rik","Bevacizumab","1700021N21Rik",0.472805213329319
"Gm57354","Bevacizumab","Gm57354",-0.813407322812964
"Gm37083","Bevacizumab","Gm37083",0.499908764883533
"Gm14226","Bevacizumab","Gm14226",0.493925176037866
"Mir6909","Bevacizumab","Mir6909",0.598970559716927
"Casq1","Bevacizumab","Casq1",0.537451093910448
"Mir192","Bevacizumab","Mir192",0.979778082941181
"Hspa1b","Bevacizumab","Hspa1b",-0.689238751753576
"Gm15247","Bevacizumab","Gm15247",0.510324858229124
"Thbs1","Bevacizumab","Thbs1",-0.526339294407714
"Gadd45a","Bevacizumab","Gadd45a",0.483580773733895
"Prkag2os1","Bevacizumab","Prkag2os1",0.637347977889052
"Serinc2","Bevacizumab","Serinc2",-0.448373707511029
"Nek3","Bevacizumab","Nek3",0.480300962297307
"Avil","Bevacizumab","Avil",-0.556641499896729
"Oasl1","Bevacizumab","Oasl1",0.698324991791289
"Gm56959","Bevacizumab","Gm56959",0.451329832884896
"Fcgbp","Bevacizumab","Fcgbp",-0.581736543684057
"Gm49861","Bevacizumab","Gm49861",0.592582023163225
"Rps18-ps3","Bevacizumab","Rps18-ps3",0.508294170562103
"Gbp2","Bevacizumab","Gbp2",0.551620228388225
"Gm47181","Bevacizumab","Gm47181",0.514162459716475
"Hsph1","Bevacizumab","Hsph1",-0.540800122070424
"Vstm5","Bevacizumab","Vstm5",0.490814939532401
"Rbp4","Bevacizumab","Rbp4",0.859452264190859
"Gbp5","Bevacizumab","Gbp5",0.460061403492437
"Itga5","Bevacizumab","Itga5",-0.45349015387293
"Gm55476","Bevacizumab","Gm55476",0.605241768083505
"Gm31718","Bevacizumab","Gm31718",0.463208750619705
"Slc22a27","Bevacizumab","Slc22a27",0.480763895942288
"Cyp4a12a","Bevacizumab","Cyp4a12a",-0.746996520932229
"Dnajc19-ps","Bevacizumab","Dnajc19-ps",0.516307640762023
"Mir22hg","Bevacizumab","Mir22hg",0.496733793281552
"Cyp2j13","Bevacizumab","Cyp2j13",-0.514574231192332
"Gsta5","Bevacizumab","Gsta5",0.475418156677366
"Gm15687","Bevacizumab","Gm15687",0.596765450993629
"Tmem274","Bevacizumab","Tmem274",-0.512048905243341
"Tmem147os.1","Bevacizumab","Tmem147os.1",0.490351879538799
"Gm20568","Bevacizumab","Gm20568",-0.497526585901543
"G0s2","Bevacizumab","G0s2",0.507163314705898
"Nmb","Bevacizumab","Nmb",0.654392102599907
"Gm31774","Bevacizumab","Gm31774",-0.622750361811651
"Met","Bevacizumab","Met",-0.463924818828019
"Gm25483","Bevacizumab","Gm25483",0.545632986236966
"Gm33050","Bevacizumab","Gm33050",-0.531524991035201
"Gm11973","Bevacizumab","Gm11973",0.513151535435434
"Gm55599","Bevacizumab","Gm55599",0.68185224682987
"Snora34","Bevacizumab","Snora34",0.490197891824341
"Vcp-rs","Bevacizumab","Vcp-rs",-0.452718990472678
"Gm26797","Bevacizumab","Gm26797",0.439351440902379
"Higd1b","Bevacizumab","Higd1b",0.485734488291803
"Cfap52","Bevacizumab","Cfap52",-0.654826625069886
"Mlkl","Bevacizumab","Mlkl",0.441370297386379
"Rpl7-ps9","Bevacizumab","Rpl7-ps9",0.441060586970596
"Gm56466","Bevacizumab","Gm56466",-0.52920345447368
"Gm23849","Bevacizumab","Gm23849",0.568291518425665
"Klk1b11","Bevacizumab","Klk1b11",0.477122518378459
"Gm55574","Bevacizumab","Gm55574",0.656725210781628
"Mir6948","Bevacizumab","Mir6948",0.521020081877525
"Gm17080","Bevacizumab","Gm17080",0.441125347740116
"Corin","Bevacizumab","Corin",0.747636087372764
"Smim36","Bevacizumab","Smim36",0.441996473986972
"Idi1","Bevacizumab","Idi1",-0.696846371964683
"Eva1c","Bevacizumab","Eva1c",0.47315935136338
"Gm23851","Bevacizumab","Gm23851",0.623375707590144
"Gm13340","Bevacizumab","Gm13340",0.604026086067617
"Gm10443","Bevacizumab","Gm10443",0.575254623253548
"Jak1","Bevacizumab","Jak1",-0.481804863959485
"Rpl6l","Bevacizumab","Rpl6l",0.492997655066461
"G530011O06Rikx","Bevacizumab","G530011O06Rikx",0.486513828420314
"Clec2d","Bevacizumab","Clec2d",0.515187934597195
"Rergl","Bevacizumab","Rergl",0.606013991660682
"Gm12033","Bevacizumab","Gm12033",0.521348701890313
"Snord94","Bevacizumab","Snord94",0.524898986541141
"Gm22771","Bevacizumab","Gm22771",0.472250221765401
"Col4a2","Bevacizumab","Col4a2",-0.44785839718135
"Acss2os","Bevacizumab","Acss2os",-0.581950015370318
"H2-DMa","Bevacizumab","H2-DMa",0.497716919586141
"Gm28638","Bevacizumab","Gm28638",0.512341999998133
"Mir7664","Bevacizumab","Mir7664",0.71822472577966
"Gm6213","Bevacizumab","Gm6213",-0.504061504485825
"Pet100","Bevacizumab","Pet100",0.490864911230129
"Gm10250","Bevacizumab","Gm10250",0.518796775557588
"Gm567","Bevacizumab","Gm567",-0.710547368384816
"Mir7022","Bevacizumab","Mir7022",0.505254043921769
"Depdc1b","Bevacizumab","Depdc1b",-0.445465232619131
"Aim2","Bevacizumab","Aim2",0.425891163736244
"Gm4482","Bevacizumab","Gm4482",-0.461468596593091
"Gm10075","Bevacizumab","Gm10075",-0.447744180186512
"Gm44984","Bevacizumab","Gm44984",0.552934186424918
"Kctd10","Bevacizumab","Kctd10",-0.509818271911962
"Gm22663","Bevacizumab","Gm22663",0.546342851930215
"Lingo4","Bevacizumab","Lingo4",0.44099942874423
"Nme5","Bevacizumab","Nme5",0.462315173120035
"Slco1a1","Bevacizumab","Slco1a1",-0.597812743849143
"Gm20713","Bevacizumab","Gm20713",-0.619256343166181
"4930516B21Rik","Bevacizumab","4930516B21Rik",0.459962528819209
"Arhgdib","Bevacizumab","Arhgdib",-0.456994715615273
"Mir363","Bevacizumab","Mir363",0.533370484864212
"Bcl6b","Bevacizumab","Bcl6b",-0.429074438599894
"Loxl4","Bevacizumab","Loxl4",-0.481487671881936
"Gm57096","Bevacizumab","Gm57096",0.508260727812691
"Gm15246","Bevacizumab","Gm15246",0.63112819485039
"Pi4ka","Bevacizumab","Pi4ka",-0.499368745101288
"Myh10","Bevacizumab","Myh10",-0.460099446969916
"Lst1","Bevacizumab","Lst1",0.612212960461722
"Gm12571","Bevacizumab","Gm12571",0.459748498888166
"Mir30c-1","Bevacizumab","Mir30c-1",0.651291891632402
"Ndufb9","Bevacizumab","Ndufb9",0.488938934981745
"Angptl4","Bevacizumab","Angptl4",0.514599421361775
"Agmat","Bevacizumab","Agmat",0.473962980430132
"Gm32960","Bevacizumab","Gm32960",0.455572639529526
"Narf","Bevacizumab","Narf",-0.437519870858527
"Slfn4","Bevacizumab","Slfn4",0.539774964263475
"Gbp4","Bevacizumab","Gbp4",0.590721727207958
"Gm7591","Bevacizumab","Gm7591",-0.421201382574417
".95","Bevacizumab",".95",0.439741463471129
"Mir6392","Bevacizumab","Mir6392",-0.447199936250887
"Isg15","Bevacizumab","Isg15",0.752428595818315
"Gm13618","Bevacizumab","Gm13618",0.601585977350239
"Gm20511","Bevacizumab","Gm20511",0.726176165106679
"Trim43a","Bevacizumab","Trim43a",0.41836639174869
"Alms1-ps2.1","Bevacizumab","Alms1-ps2.1",0.651902419050895
"Ccdc68","Bevacizumab","Ccdc68",0.442662063285959
"Gm39397","Bevacizumab","Gm39397",0.466180542864889
"Dchs1","Bevacizumab","Dchs1",-0.436414484678151
"Xaf1","Bevacizumab","Xaf1",0.577794277438415
"Serpina1c","Bevacizumab","Serpina1c",0.470013005584796
"Ermardl1","Bevacizumab","Ermardl1",0.523646709171934
"Col27a1","Bevacizumab","Col27a1",0.554578940429302
"Gm14001","Bevacizumab","Gm14001",-0.478005072464001
"Gm30173","Bevacizumab","Gm30173",0.462454996161314
"Gm56589","Bevacizumab","Gm56589",0.482437334025497
"Hoxb3os","Bevacizumab","Hoxb3os",0.464397509452409
"Gm33887","Bevacizumab","Gm33887",-0.58989320356493
"C4b","Bevacizumab","C4b",0.843452363230565
"Spg11","Bevacizumab","Spg11",-0.435409526454789
"Scd2","Bevacizumab","Scd2",-0.455025873638673
"Gm56603","Bevacizumab","Gm56603",-0.552196783339406
"n-R5s197","Bevacizumab","n-R5s197",-0.671338248097487
"Tnrc18","Bevacizumab","Tnrc18",-0.423926766007422
"Polr3e","Bevacizumab","Polr3e",0.536045562785328
"Gm6485","Bevacizumab","Gm6485",0.539276728931331
"Mir6979","Bevacizumab","Mir6979",0.481203715747187
"Sorbs1","Bevacizumab","Sorbs1",-0.589681081684408
"Il18bp","Bevacizumab","Il18bp",0.460543508683377
"Gm56136","Bevacizumab","Gm56136",0.481960102594258
"Itga8","Bevacizumab","Itga8",-0.42345040943907
"Gm36629","Bevacizumab","Gm36629",0.480353256508021
"Gm35189","Bevacizumab","Gm35189",0.454370973484489
"Nat8f5","Bevacizumab","Nat8f5",0.488115047263026
"Gm45064","Bevacizumab","Gm45064",0.413362088642127
"Ifitm3","Bevacizumab","Ifitm3",0.465629689671356
"Rtn1","Bevacizumab","Rtn1",-0.500126948143751
"AU021092","Bevacizumab","AU021092",-0.439997087063308
"Gm39473","Bevacizumab","Gm39473",-0.493291553849012
"Atp5if1","Bevacizumab","Atp5if1",0.445807356758322
"Herc6","Bevacizumab","Herc6",0.437893524744253
"Gm12655","Bevacizumab","Gm12655",0.438141604317579
"Gm47946","Bevacizumab","Gm47946",-0.488182754979062
"Rpl19-ps11","Bevacizumab","Rpl19-ps11",0.606835614697033
"Mir7085","Bevacizumab","Mir7085",0.722479250458597
"Irf1","Bevacizumab","Irf1",0.492975242215262
"Gm28661","Bevacizumab","Gm28661",0.476921202651847
"Atp10b","Bevacizumab","Atp10b",-0.422283650422863
"Dtx3l","Bevacizumab","Dtx3l",0.424747337528301
"Gm10244","Bevacizumab","Gm10244",0.441154774054365
"Bmp8a","Bevacizumab","Bmp8a",-0.474886624299097
